'CMRPF' --->  'Color marrón-rojizo en las puntas de los foliolos'
'FS'    --->  'Foliolos secos'
'CF'    --->  'Caida de frutos'
'RP'    --->  'Raices podridas'
'FALF'  --->  'Foliolos amarillos en la lámina foliar'
'PBF'   --->  'Perdida de brillo en los frutos'
'HFA'   --->  'Hojas o Foliolo Amarillo'
'NPF'   --->  'Necrosis o pudrición en la flecha'
'CMRF'  --->  'Color marrón-rojizo en las flechas'
'RHC'   --->  'Raquis de la hoja curva que da forma de arco'
'CLDP'  --->  'Crecimiento lento o detenido de la palma'
'FMCO'  --->  'Foliolos con manchas color oliva'
'FMCM'  --->  'Foliolos con manchas color marrón'
'FMNM'  --->  'Foliolos con Mancha necrosa con centro marrón oscuro'
'FMGN'  --->  'Foliolos con Mancha color gris con puntos negros'
'PRHA'  --->  'Punto rojo con halo amarillento'
'RPM'   --->  'Racimos podridos o marchitos'
'MAF'   --->  'Marchitamiento o aborto de flores'
'AM'    --->  'Aspecto moribundo'
'AM'    --->  'Compactacion anormal de las flechas y hojas'
'HCVA'  --->  'Hojas de color verde-amarillenta'
'HD'    --->  'Las hojas se desprenden'
'FS'    --->  'Frutos secos'
'HTAP'  --->  'Hojas en el tronco anormalmente pequeñas'
'MS'    --->  'Marchitez Sorpresiva'
'AL'    --->  'Amarillamiento letal'
'SPF'   --->  'Secamiento o pudrición de la flecha'
'SAH'   --->  'Secamiento o añublo de las hojas'
'PRBT'  --->  'Pudrición de las raíces y de la base del tronco'     
'AM'    --->  'Anillo Marrón'  
